"","HOUR_IN_YEAR","MONTH","HOUR_IN_DAY","DIFFUSED","DIRECT","GLOBAL"
"6199",4649,7,16,76.5072463768116,65.1014492753623,141.608695652174
"6574",4650,7,17,60.1594202898551,50.4347826086956,110.594202898551
"6949",4651,7,18,40.2898550724638,30.1159420289855,70.4057971014493
"7324",4652,7,19,24.304347826087,12.6666666666667,36.9710144927536
"7699",4653,7,20,8.1304347826087,2.47826086956522,10.6086956521739
"8074",4654,7,21,0.0142857142857143,0.0285714285714286,0.0428571428571429
"8449",4655,7,22,0,0,0
"8824",4656,7,23,0,0,0
"200",4657,7,0,0,0,0
"575",4658,7,1,0,0,0
"950",4659,7,2,0,0,0
"1325",4660,7,3,0,0,0
"1700",4661,7,4,0.0571428571428571,0,0.0571428571428571
"2075",4662,7,5,7.07246376811594,1.71014492753623,8.78260869565217
"2450",4663,7,6,22.536231884058,11.6811594202899,34.2173913043478
"2825",4664,7,7,39.7826086956522,29.5797101449275,69.3623188405797
"3200",4665,7,8,57.8115942028985,50.6231884057971,108.434782608696
"3575",4666,7,9,73.1594202898551,72.7971014492754,145.95652173913
"3950",4667,7,10,84.3768115942029,89.9130434782609,174.289855072464
"4325",4668,7,11,99.7101449275362,96.5942028985507,196.304347826087
"4700",4669,7,12,104.376811594203,105.579710144928,209.95652173913
"5075",4670,7,13,98.4347826086957,115.173913043478,213.608695652174
"5450",4671,7,14,97.3768115942029,100.521739130435,197.898550724638
"5825",4672,7,15,88.0289855072464,85.231884057971,173.260869565217
"6200",4673,7,16,71.5652173913043,65.695652173913,137.260869565217
"6575",4674,7,17,58.5797101449275,48.9855072463768,107.565217391304
"6950",4675,7,18,40.7246376811594,30.0434782608696,70.768115942029
"7325",4676,7,19,22.0434782608696,12.3478260869565,34.3913043478261
"7700",4677,7,20,7.98550724637681,1.8695652173913,9.85507246376812
"8075",4678,7,21,0,0,0
"8450",4679,7,22,0,0,0
"8825",4680,7,23,0,0,0
"201",4681,7,0,0,0,0
"576",4682,7,1,0,0,0
"951",4683,7,2,0,0,0
"1326",4684,7,3,0,0,0
"1701",4685,7,4,0.0428571428571429,0,0.0428571428571429
"2076",4686,7,5,7.05797101449275,1.94202898550725,9
"2451",4687,7,6,23.2173913043478,13.5072463768116,36.7246376811594
"2826",4688,7,7,39.1449275362319,31.0434782608696,70.1884057971015
